"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"112765","Robert Raymond ""Bob"" Sohl","M",20,NA,NA,"United States","USA","1948 Summer",1948,"Summer","London","Swimming","Swimming Men's 200 metres Breaststroke","Bronze"
"112782","Sokhon Yi","M",21,183,74,"Cambodia","CAM","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 100 metres Breaststroke",NA
"112782","Sokhon Yi","M",21,183,74,"Cambodia","CAM","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 200 metres Breaststroke",NA
"112782","Sokhon Yi","M",21,183,74,"Cambodia","CAM","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"112814","Yelena Petrovna Sokolova","F",17,182,67,"Russia","RUS","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 800 metres Freestyle",NA
"112814","Yelena Petrovna Sokolova","F",17,182,67,"Russia","RUS","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",NA
"112814","Yelena Petrovna Sokolova","F",21,182,67,"Russia","RUS","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 400 metres Freestyle",NA
"112814","Yelena Petrovna Sokolova","F",21,182,67,"Russia","RUS","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 800 metres Freestyle",NA
"112814","Yelena Petrovna Sokolova","F",21,182,67,"Russia","RUS","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay",NA
"112829","Diana Sokoowska","F",16,175,66,"Poland","POL","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay",NA
"112847","Eduardo Ignacio Solaeche Gmez","M",22,183,78,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 200 metres Individual Medley",NA
"112879","Cristian Mauro Soldano","M",28,170,70,"Argentina","ARG","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 100 metres Breaststroke",NA
"112943","Lavrans Solli","M",20,184,NA,"Norway","NOR","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 100 metres Backstroke",NA
"112990","Viktor Solovyov","M",NA,NA,NA,"Soviet Union","URS","1952 Summer",1952,"Summer","Helsinki","Swimming","Swimming Men's 100 metres Backstroke",NA
"112993","Anzhelika Solovyova","F",20,180,67,"Kyrgyzstan","KGZ","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay",NA
"112993","Anzhelika Solovyova","F",20,180,67,"Kyrgyzstan","KGZ","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 100 metres Backstroke",NA
"113023","Alan Brounell Somers","M",19,185,74,"United States","USA","1960 Summer",1960,"Summer","Roma","Swimming","Swimming Men's 400 metres Freestyle",NA
"113023","Alan Brounell Somers","M",19,185,74,"United States","USA","1960 Summer",1960,"Summer","Roma","Swimming","Swimming Men's 1,500 metres Freestyle",NA
"113114","Song Gwang-Seon","M",18,177,71,"South Korea","KOR","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 50 metres Freestyle",NA
"113114","Song Gwang-Seon","M",18,177,71,"South Korea","KOR","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 100 metres Freestyle",NA
"113114","Song Gwang-Seon","M",18,177,71,"South Korea","KOR","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",NA
"113114","Song Gwang-Seon","M",18,177,71,"South Korea","KOR","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"113154","Song Wenyan","F",20,175,67,"China","CHN","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 200 metres Freestyle",NA
"113169","Rebecca Soni","F",21,173,61,"United States","USA","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 100 metres Breaststroke","Silver"
"113169","Rebecca Soni","F",21,173,61,"United States","USA","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 200 metres Breaststroke","Gold"
"113169","Rebecca Soni","F",21,173,61,"United States","USA","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Silver"
"113169","Rebecca Soni","F",25,173,61,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 100 metres Breaststroke","Silver"
"113169","Rebecca Soni","F",25,173,61,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 200 metres Breaststroke","Gold"
"113169","Rebecca Soni","F",25,173,61,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Gold"
